,DateTime,TagName,Value,vValue,Quality,QualityDetail,OPCQuality
82,2018-12-03 00:00:00.0000000,DTMK_dy1pd_5bpgpcqyx.PV,0.0,0.0,133,192,192
269528,2018-12-03 18:15:13.5350000,DTMK_dy1pd_5bpgpcqyx.PV,,,1,536,24
269650,2018-12-03 18:16:34.2540000,DTMK_dy1pd_5bpgpcqyx.PV,0.0,0.0,0,704,192
269774,2018-12-03 18:16:44.2490000,DTMK_dy1pd_5bpgpcqyx.PV,0.0,0.0,0,192,192
270977,2018-12-03 18:54:33.8790000,DTMK_dy1pd_5bpgpcqyx.PV,,,1,536,24
271099,2018-12-03 18:55:54.1600000,DTMK_dy1pd_5bpgpcqyx.PV,0.0,0.0,0,704,192
271222,2018-12-03 18:56:03.9990000,DTMK_dy1pd_5bpgpcqyx.PV,0.0,0.0,0,192,192
279880,2018-12-03 19:31:24.3470000,DTMK_dy1pd_5bpgpcqyx.PV,,,1,536,24
280002,2018-12-03 19:32:44.3940000,DTMK_dy1pd_5bpgpcqyx.PV,0.0,0.0,0,704,192
280135,2018-12-03 19:32:54.3740000,DTMK_dy1pd_5bpgpcqyx.PV,0.0,0.0,0,192,192
630867,2018-12-04 19:14:54.3160000,DTMK_dy1pd_5bpgpcqyx.PV,,,1,536,24
630989,2018-12-04 19:16:13.9730000,DTMK_dy1pd_5bpgpcqyx.PV,0.0,0.0,0,704,192
631137,2018-12-04 19:16:23.9680000,DTMK_dy1pd_5bpgpcqyx.PV,0.0,0.0,0,192,192
958268,2018-12-05 18:48:03.6130000,DTMK_dy1pd_5bpgpcqyx.PV,,,1,536,24
958390,2018-12-05 18:49:23.8480000,DTMK_dy1pd_5bpgpcqyx.PV,0.0,0.0,0,704,192
958536,2018-12-05 18:49:33.8430000,DTMK_dy1pd_5bpgpcqyx.PV,0.0,0.0,0,192,192
1259955,2018-12-06 13:07:03.5150000,DTMK_dy1pd_5bpgpcqyx.PV,,,1,536,24
1260077,2018-12-06 13:08:24.4680000,DTMK_dy1pd_5bpgpcqyx.PV,0.0,0.0,0,704,192
1260200,2018-12-06 13:08:34.5880000,DTMK_dy1pd_5bpgpcqyx.PV,0.0,0.0,0,192,192
1270980,2018-12-06 19:03:04.0570000,DTMK_dy1pd_5bpgpcqyx.PV,,,1,24,24
1271094,2018-12-06 19:04:24.3430000,DTMK_dy1pd_5bpgpcqyx.PV,0.0,0.0,0,704,192
1271220,2018-12-06 19:04:34.3380000,DTMK_dy1pd_5bpgpcqyx.PV,0.0,0.0,0,192,192
1272765,2018-12-06 19:53:53.7030000,DTMK_dy1pd_5bpgpcqyx.PV,,,1,536,24
1272887,2018-12-06 19:55:14.2180000,DTMK_dy1pd_5bpgpcqyx.PV,0.0,0.0,0,704,192
1273013,2018-12-06 19:55:24.2130000,DTMK_dy1pd_5bpgpcqyx.PV,0.0,0.0,0,192,192
1273229,2018-12-06 19:59:34.3750000,DTMK_dy1pd_5bpgpcqyx.PV,,,1,536,24
1273351,2018-12-06 20:00:54.3750000,DTMK_dy1pd_5bpgpcqyx.PV,0.0,0.0,0,704,192
1273475,2018-12-06 20:01:04.3700000,DTMK_dy1pd_5bpgpcqyx.PV,0.0,0.0,0,192,192
1273758,2018-12-06 20:07:13.8120000,DTMK_dy1pd_5bpgpcqyx.PV,,,1,536,24
1273888,2018-12-06 20:08:43.7600000,DTMK_dy1pd_5bpgpcqyx.PV,0.0,0.0,0,192,192
1559982,2018-12-07 16:34:24.0990000,DTMK_dy1pd_5bpgpcqyx.PV,,,1,536,24
1560104,2018-12-07 16:46:43.8650000,DTMK_dy1pd_5bpgpcqyx.PV,0.0,0.0,0,704,192
1560230,2018-12-07 16:46:53.8600000,DTMK_dy1pd_5bpgpcqyx.PV,0.0,0.0,0,192,192
1560811,2018-12-07 16:58:23.7240000,DTMK_dy1pd_5bpgpcqyx.PV,,,1,536,24
1560933,2018-12-07 16:59:43.7710000,DTMK_dy1pd_5bpgpcqyx.PV,0.0,0.0,0,704,192
1561062,2018-12-07 16:59:53.7660000,DTMK_dy1pd_5bpgpcqyx.PV,0.0,0.0,0,192,192
1909219,2018-12-08 19:32:34.0040000,DTMK_dy1pd_5bpgpcqyx.PV,,,1,536,24
1909352,2018-12-08 19:34:04.0300000,DTMK_dy1pd_5bpgpcqyx.PV,0.0,0.0,0,192,192
2062519,2018-12-09 05:19:34.1190000,DTMK_dy1pd_5bpgpcqyx.PV,,,1,536,24
2062641,2018-12-09 05:27:44.3690000,DTMK_dy1pd_5bpgpcqyx.PV,0.0,0.0,0,704,192
2062773,2018-12-09 05:27:54.3800000,DTMK_dy1pd_5bpgpcqyx.PV,0.0,0.0,0,192,192
2091197,2018-12-09 07:10:43.6350000,DTMK_dy1pd_5bpgpcqyx.PV,,,1,536,24
2091331,2018-12-09 07:11:03.6300000,DTMK_dy1pd_5bpgpcqyx.PV,0.0,0.0,0,192,192
2232952,2018-12-09 17:48:33.7600000,DTMK_dy1pd_5bpgpcqyx.PV,,,1,536,24
2233074,2018-12-09 17:51:13.7280000,DTMK_dy1pd_5bpgpcqyx.PV,0.0,0.0,0,704,192
2233196,2018-12-09 17:51:23.7390000,DTMK_dy1pd_5bpgpcqyx.PV,0.0,0.0,0,192,192
2240226,2018-12-09 18:39:54.4630000,DTMK_dy1pd_5bpgpcqyx.PV,,,1,536,24
2240359,2018-12-09 18:42:44.2230000,DTMK_dy1pd_5bpgpcqyx.PV,0.0,0.0,0,192,192
