,DateTime,TagName,Value,vValue,Quality,QualityDetail,OPCQuality
25,2018-12-03 00:00:00.0000000,DTMK_dy1pd_2bpgpcqyx.PV,0.0,0.0,133,192,192
269485,2018-12-03 18:15:13.5350000,DTMK_dy1pd_2bpgpcqyx.PV,,,1,536,24
269607,2018-12-03 18:16:34.2540000,DTMK_dy1pd_2bpgpcqyx.PV,0.0,0.0,0,704,192
269730,2018-12-03 18:16:44.2490000,DTMK_dy1pd_2bpgpcqyx.PV,0.0,0.0,0,192,192
270933,2018-12-03 18:54:33.8790000,DTMK_dy1pd_2bpgpcqyx.PV,,,1,536,24
271055,2018-12-03 18:55:54.1600000,DTMK_dy1pd_2bpgpcqyx.PV,0.0,0.0,0,704,192
271178,2018-12-03 18:56:03.9990000,DTMK_dy1pd_2bpgpcqyx.PV,0.0,0.0,0,192,192
279840,2018-12-03 19:31:24.3470000,DTMK_dy1pd_2bpgpcqyx.PV,,,1,536,24
279962,2018-12-03 19:32:44.3940000,DTMK_dy1pd_2bpgpcqyx.PV,0.0,0.0,0,704,192
280091,2018-12-03 19:32:54.3740000,DTMK_dy1pd_2bpgpcqyx.PV,0.0,0.0,0,192,192
630826,2018-12-04 19:14:54.3160000,DTMK_dy1pd_2bpgpcqyx.PV,,,1,536,24
630948,2018-12-04 19:16:13.9730000,DTMK_dy1pd_2bpgpcqyx.PV,0.0,0.0,0,704,192
631093,2018-12-04 19:16:23.9680000,DTMK_dy1pd_2bpgpcqyx.PV,0.0,0.0,0,192,192
958228,2018-12-05 18:48:03.6130000,DTMK_dy1pd_2bpgpcqyx.PV,,,1,536,24
958350,2018-12-05 18:49:23.8480000,DTMK_dy1pd_2bpgpcqyx.PV,0.0,0.0,0,704,192
958492,2018-12-05 18:49:33.8430000,DTMK_dy1pd_2bpgpcqyx.PV,0.0,0.0,0,192,192
1259912,2018-12-06 13:07:03.5150000,DTMK_dy1pd_2bpgpcqyx.PV,,,1,536,24
1260034,2018-12-06 13:08:24.4680000,DTMK_dy1pd_2bpgpcqyx.PV,0.0,0.0,0,704,192
1260157,2018-12-06 13:08:34.5880000,DTMK_dy1pd_2bpgpcqyx.PV,0.0,0.0,0,192,192
1270932,2018-12-06 19:03:04.0570000,DTMK_dy1pd_2bpgpcqyx.PV,,,1,24,24
1271050,2018-12-06 19:04:24.3430000,DTMK_dy1pd_2bpgpcqyx.PV,0.0,0.0,0,704,192
1271175,2018-12-06 19:04:34.3380000,DTMK_dy1pd_2bpgpcqyx.PV,0.0,0.0,0,192,192
1272721,2018-12-06 19:53:53.7030000,DTMK_dy1pd_2bpgpcqyx.PV,,,1,536,24
1272843,2018-12-06 19:55:14.2180000,DTMK_dy1pd_2bpgpcqyx.PV,0.0,0.0,0,704,192
1272969,2018-12-06 19:55:24.2130000,DTMK_dy1pd_2bpgpcqyx.PV,0.0,0.0,0,192,192
1273185,2018-12-06 19:59:34.3750000,DTMK_dy1pd_2bpgpcqyx.PV,,,1,536,24
1273307,2018-12-06 20:00:54.3750000,DTMK_dy1pd_2bpgpcqyx.PV,0.0,0.0,0,704,192
1273431,2018-12-06 20:01:04.3700000,DTMK_dy1pd_2bpgpcqyx.PV,0.0,0.0,0,192,192
1273714,2018-12-06 20:07:13.8120000,DTMK_dy1pd_2bpgpcqyx.PV,,,1,536,24
1273840,2018-12-06 20:08:43.7600000,DTMK_dy1pd_2bpgpcqyx.PV,0.0,0.0,0,192,192
1559939,2018-12-07 16:34:24.0990000,DTMK_dy1pd_2bpgpcqyx.PV,,,1,536,24
1560061,2018-12-07 16:46:43.8650000,DTMK_dy1pd_2bpgpcqyx.PV,0.0,0.0,0,704,192
1560186,2018-12-07 16:46:53.8600000,DTMK_dy1pd_2bpgpcqyx.PV,0.0,0.0,0,192,192
1560774,2018-12-07 16:58:23.7240000,DTMK_dy1pd_2bpgpcqyx.PV,,,1,536,24
1560896,2018-12-07 16:59:43.7710000,DTMK_dy1pd_2bpgpcqyx.PV,0.0,0.0,0,704,192
1561024,2018-12-07 16:59:53.7660000,DTMK_dy1pd_2bpgpcqyx.PV,0.0,0.0,0,192,192
1909178,2018-12-08 19:32:34.0040000,DTMK_dy1pd_2bpgpcqyx.PV,,,1,536,24
1909304,2018-12-08 19:34:04.0300000,DTMK_dy1pd_2bpgpcqyx.PV,0.0,0.0,0,192,192
2062479,2018-12-09 05:19:34.1190000,DTMK_dy1pd_2bpgpcqyx.PV,,,1,536,24
2062601,2018-12-09 05:27:44.3690000,DTMK_dy1pd_2bpgpcqyx.PV,0.0,0.0,0,704,192
2062734,2018-12-09 05:27:54.3800000,DTMK_dy1pd_2bpgpcqyx.PV,0.0,0.0,0,192,192
2091157,2018-12-09 07:10:43.6350000,DTMK_dy1pd_2bpgpcqyx.PV,,,1,536,24
2091283,2018-12-09 07:11:03.6300000,DTMK_dy1pd_2bpgpcqyx.PV,0.0,0.0,0,192,192
2232909,2018-12-09 17:48:33.7600000,DTMK_dy1pd_2bpgpcqyx.PV,,,1,536,24
2233031,2018-12-09 17:51:13.7280000,DTMK_dy1pd_2bpgpcqyx.PV,0.0,0.0,0,704,192
2233153,2018-12-09 17:51:23.7390000,DTMK_dy1pd_2bpgpcqyx.PV,0.0,0.0,0,192,192
2240185,2018-12-09 18:39:54.4630000,DTMK_dy1pd_2bpgpcqyx.PV,,,1,536,24
2240311,2018-12-09 18:42:44.2230000,DTMK_dy1pd_2bpgpcqyx.PV,0.0,0.0,0,192,192
